1000,1467165592.659458,1467165595.394671,0:00:02.74,Cervical cancer,3013,2,16,201,24984868,Role of caffeine in DNA recognition of a potential food-carcinogen benzo[a]pyrene and UVA induced DNA damage.,"[['Banerjee S', 'Department of Chemical, Biological & Macromolecular Sciences, S. N. Bose National Centre for Basic Sciences, Block JD, Sector III, Salt Lake, Kolkata, 700 098, India.'], ['Chaudhuri S', 'Not found'], ['Maity AK', 'Not found'], ['Saha P', 'Not found'], ['Pal SK', 'Not found']]","[u'Department of Chemical, Biological & Macromolecular Sciences, S. N. Bose National Centre for Basic Sciences, Block JD, Sector III, Salt Lake, Kolkata, 700 098, India.']",Journal of molecular recognition : JMR,J Mol Recognit,"[u""Research Support, Non-U.S. Gov't""]","['Benzo(a)pyrene/chemistry*', 'Caffeine/chemistry*', 'Cell Line, Tumor', 'DNA Damage*', 'HeLa Cells', 'Humans', 'MCF-7 Cells', 'Models, Molecular', 'Oxidation-Reduction', 'Spectrum Analysis', 'Ultraviolet Rays']",J Mol Recognit. 2014 Aug;27(8):510-20. doi: 10.1002/jmr.2379.,2014-08-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24984868,http://dx.doi.org/10.1002/jmr.2379
1000,1467165592.660555,1467165595.991333,0:00:03.33,Cervical cancer,3013,2,16,214,24874726,Surgical treatment of stage IA2 cervical cancer.,"[['Kokka F', ""Department of Gynaecological Oncology, St. Bartholomew's Hospital, Barts and The London NHS Trust, West Smithfield, London, UK, EC1A 7BE.""], ['Bryant A', 'Not found'], ['Brockbank E', 'Not found'], ['Jeyarajah A', 'Not found']]","[u""Department of Gynaecological Oncology, St. Bartholomew's Hospital, Barts and The London NHS Trust, West Smithfield, London, UK, EC1A 7BE.""]",The Cochrane database of systematic reviews,Cochrane Database Syst Rev,[u'Review'],"['Female', 'Humans', 'Neoplasm Staging', 'Uterine Cervical Neoplasms/pathology', 'Uterine Cervical Neoplasms/surgery*']",Cochrane Database Syst Rev. 2014 May 29;(5):CD010870. doi: 10.1002/14651858.CD010870.pub2. Review.,2014-05-29 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24874726,http://dx.doi.org/10.1002/14651858.CD010870.pub2
1000,1467165592.661602,1467165596.208136,0:00:03.55,Cervical cancer,3013,2,16,227,24758528,Evaluation of hexane and ethyl acetate extracts of the sponge Jaspis diastra collected from Mauritius Waters on HeLa cells.,"[['Beedessee G', 'Mauritius Oceanography Institute (MOI), Quatre-Bornes, Mauritius.'], ['Ramanjooloo A', 'Not found'], ['Tiscornia I', 'Not found'], ['Cresteil T', 'Not found'], ['Raghothama S', 'Not found'], ['Arya D', 'Not found'], ['Rao S', 'Not found'], ['Gowd KH', 'Not found'], ['Bollati-Fogolin M', 'Not found'], ['Marie DE', 'Not found']]","[u'Mauritius Oceanography Institute (MOI), Quatre-Bornes, Mauritius.']",The Journal of pharmacy and pharmacology,J Pharm Pharmacol,"[u""Research Support, Non-U.S. Gov't""]","['Animals', 'Antineoplastic Agents/pharmacology', 'Antineoplastic Agents/therapeutic use*', 'Apoptosis/drug effects', 'Biological Products/pharmacology', 'Biological Products/therapeutic use*', 'Depsipeptides/pharmacology', 'Depsipeptides/therapeutic use*', 'Female', 'HeLa Cells', 'Humans', 'Mauritius', 'Membrane Potential, Mitochondrial/drug effects', 'Porifera/chemistry*', 'Uterine Cervical Neoplasms/drug therapy*']",J Pharm Pharmacol. 2014 Sep;66(9):1317-27. doi: 10.1111/jphp.12256. Epub 2014 Apr 24.,2014-09-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24758528,http://dx.doi.org/10.1111/jphp.12256
1000,1467165592.663407,1467165596.210091,0:00:03.55,Cervical cancer,3013,2,16,240,24698523,Tumor-associated macrophages induce lymphangiogenesis in cervical cancer via interaction with tumor cells.,"[['Ding H', 'Department of Obstetrics and Gynecology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China.'], ['Cai J', 'Not found'], ['Mao M', 'Not found'], ['Fang Y', 'Not found'], ['Huang Z', 'Not found'], ['Jia J', 'Not found'], ['Li T', 'Not found'], ['Xu L', 'Not found'], ['Wang J', 'Not found'], ['Zhou J', 'Not found'], ['Yang Q', 'Not found'], ['Wang Z', 'Not found']]","[u'Department of Obstetrics and Gynecology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China.']","APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",APMIS,"[u""Research Support, Non-U.S. Gov't""]","['Cell Line, Tumor', 'Coculture Techniques', 'Endothelial Cells/pathology', 'Female', 'HeLa Cells', 'Humans', 'Immunohistochemistry/methods', 'Interleukin-8/genetics', 'Lymphangiogenesis/genetics', 'Lymphangiogenesis/physiology*', 'Lymphatic Metastasis/genetics', 'Lymphatic Metastasis/pathology', 'Macrophages/pathology*', 'Middle Aged', 'RNA, Messenger/genetics', 'Uterine Cervical Neoplasms/genetics', 'Uterine Cervical Neoplasms/pathology*', 'Vascular Endothelial Growth Factor A/genetics', 'Vascular Endothelial Growth Factor C/genetics']",APMIS. 2014 Nov;122(11):1059-69. doi: 10.1111/apm.12257. Epub 2014 Apr 4.,2014-11-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24698523,http://dx.doi.org/10.1111/apm.12257
1000,1467165595.40664,1467165597.508887,0:00:02.10,Cervical cancer,3013,2,16,202,24979331,HPV vaccine stimulates cytotoxic activity of killer dendritic cells and natural killer cells against HPV-positive tumour cells.,"[['Van den Bergh JM', 'Laboratory of Experimental Hematology, Vaccine and Infectious Disease Institute (VAXINFECTIO), Faculty of Medicine & Health Sciences, University of Antwerp, Antwerp, Belgium.'], ['Guerti K', 'Not found'], ['Willemen Y', 'Not found'], ['Lion E', 'Not found'], ['Cools N', 'Not found'], ['Goossens H', 'Not found'], ['Vorsters A', 'Not found'], ['Van Tendeloo VF', 'Not found'], ['Anguille S', 'Not found'], ['Van Damme P', 'Not found'], ['Smits EL', 'Not found']]","[u'Laboratory of Experimental Hematology, Vaccine and Infectious Disease Institute (VAXINFECTIO), Faculty of Medicine & Health Sciences, University of Antwerp, Antwerp, Belgium.']",Journal of cellular and molecular medicine,J Cell Mol Med,"[u""Research Support, Non-U.S. Gov't""]","['Cells, Cultured', 'Dendritic Cells/immunology*', 'Dendritic Cells/metabolism', 'Dendritic Cells/pathology', 'Female', 'Humans', 'Immunity, Innate/immunology', 'Immunophenotyping', 'Interleukin-15/immunology', 'Interleukin-15/metabolism', 'Killer Cells, Natural/immunology*', 'Killer Cells, Natural/metabolism', 'Killer Cells, Natural/pathology', 'Lymphocytes/immunology', 'Lymphocytes/metabolism', 'Lymphocytes/pathology', 'Papillomaviridae/immunology*', 'Papillomavirus Infections/immunology*', 'Papillomavirus Infections/pathology', 'Papillomavirus Infections/prevention & control', 'Papillomavirus Vaccines/therapeutic use*', 'T-Lymphocytes, Cytotoxic/immunology*', 'T-Lymphocytes, Cytotoxic/metabolism', 'T-Lymphocytes, Cytotoxic/pathology', 'Uterine Cervical Neoplasms/immunology*', 'Uterine Cervical Neoplasms/pathology', 'Uterine Cervical Neoplasms/prevention & control']",J Cell Mol Med. 2014 Jul;18(7):1372-80. doi: 10.1111/jcmm.12284. Epub 2014 Jun 30.,2014-07-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24979331,http://dx.doi.org/10.1111/jcmm.12284
1000,1467165596.001929,1467165598.100808,0:00:02.10,Cervical cancer,3013,2,16,215,24863069,Long-term outcomes after fertility-sparing laparoscopic radical trachelectomy in young women with early-stage cervical cancer: an Asan Gynecologic Cancer Group (AGCG) study.,"[['Park JY', 'Department of Obstetrics and Gynecology, University of Ulsan College of Medicine, Asan Medical Center, Seoul, Korea.'], ['Joo WD', 'Not found'], ['Chang SJ', 'Not found'], ['Kim DY', 'Not found'], ['Kim JH', 'Not found'], ['Kim YM', 'Not found'], ['Kim YT', 'Not found'], ['Nam JH', 'Not found']]","[u'Department of Obstetrics and Gynecology, University of Ulsan College of Medicine, Asan Medical Center, Seoul, Korea.']",Journal of surgical oncology,J Surg Oncol,[u'Multicenter Study'],"['Adult', 'Carcinoma/drug therapy', 'Carcinoma/mortality', 'Carcinoma/pathology', 'Carcinoma/surgery*', 'Cervix Uteri/surgery*', 'Chemotherapy, Adjuvant', 'Female', 'Fertility Preservation*', 'Follow-Up Studies', 'Humans', 'Laparoscopy*', 'Live Birth', 'Neoplasm Invasiveness', 'Neoplasm Recurrence, Local', 'Pregnancy', 'Pregnancy Rate', 'Risk Factors', 'Uterine Cervical Neoplasms/drug therapy', 'Uterine Cervical Neoplasms/mortality', 'Uterine Cervical Neoplasms/pathology', 'Uterine Cervical Neoplasms/surgery*', 'Young Adult']",J Surg Oncol. 2014 Sep;110(3):252-7. doi: 10.1002/jso.23631. Epub 2014 May 26.,2014-09-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24863069,http://dx.doi.org/10.1002/jso.23631
1000,1467165596.217396,1467165598.374766,0:00:02.16,Cervical cancer,3013,2,16,241,24698282,Large prospective study finds no association between oral contraceptive use and breast cancer but increased risk for cervical cancer.,"[['Bond S', 'Not found']]",Not found,Journal of midwifery & women's health,J Midwifery Womens Health,[u'Comment'],"['Contraceptives, Oral/adverse effects*', 'Female', 'Humans', 'Neoplasms/chemically induced*', 'Neoplasms/epidemiology*']",J Midwifery Womens Health. 2014 Mar-Apr;59(2):218-9. doi: 10.1111/jmwh.12202. No abstract available.,Not found,http://www.ncbi.nlm.nih.gov/pubmed/24698282,http://dx.doi.org/10.1111/jmwh.12202
1000,1467165596.215954,1467165598.697513,0:00:02.48,Cervical cancer,3013,2,16,228,24750491,Possible association between stem-like hallmark and radioresistance in human cervical carcinoma cells.,"[['Kumazawa S', 'Department of Obstetrics and Gynecology, Nagoya University Graduate School of Medicine, Nagoya, Japan.'], ['Kajiyama H', 'Not found'], ['Umezu T', 'Not found'], ['Mizuno M', 'Not found'], ['Suzuki S', 'Not found'], ['Yamamoto E', 'Not found'], ['Mitsui H', 'Not found'], ['Sekiya R', 'Not found'], ['Shibata K', 'Not found'], ['Kikkawa F', 'Not found']]","[u'Department of Obstetrics and Gynecology, Nagoya University Graduate School of Medicine, Nagoya, Japan.']",The journal of obstetrics and gynaecology research,J Obstet Gynaecol Res,Not found,"['Animals', 'Apoptosis/radiation effects', 'Cell Line, Tumor', 'Epithelial-Mesenchymal Transition', 'Female', 'Hepatocyte Growth Factor/physiology', 'Humans', 'Mice', 'Mice, Inbred BALB C', 'Neoplastic Stem Cells/pathology*', 'Neoplastic Stem Cells/radiation effects', 'Proto-Oncogene Proteins c-met/physiology', 'Radiation Tolerance*', 'Side-Population Cells/pathology*', 'Side-Population Cells/radiation effects', 'Uterine Cervical Neoplasms/pathology', 'Uterine Cervical Neoplasms/radiotherapy*']",J Obstet Gynaecol Res. 2014 May;40(5):1389-98. doi: 10.1111/jog.12357. Epub 2014 Apr 21.,2014-05-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24750491,http://dx.doi.org/10.1111/jog.12357
1000,1467165597.516426,1467165599.592158,0:00:02.08,Cervical cancer,3013,2,16,203,24978445,"Pre-vaccination prevalence of infections with 25 non-high-risk human papillomavirus types among 1,000 Slovenian women in cervical cancer screening.","[['U\xc4\x8dakar V', 'National Institute of Public Health, Ljubljana, Slovenia.'], ['Poljak M', 'Not found'], ['O\xc5\xa1trbenk A', 'Not found'], ['Klavs I', 'Not found']]","[u'National Institute of Public Health, Ljubljana, Slovenia.']",Journal of medical virology,J Med Virol,"[u""Research Support, Non-U.S. Gov't""]","['Adult', 'Cervix Uteri/virology*', 'Cross-Sectional Studies', 'Early Detection of Cancer', 'Female', 'Genotype', 'Genotyping Techniques', 'Humans', 'Middle Aged', 'Papillomaviridae/classification*', 'Papillomaviridae/genetics', 'Papillomaviridae/isolation & purification*', 'Papillomavirus Infections/epidemiology*', 'Papillomavirus Infections/virology*', 'Prevalence', 'Severity of Illness Index', 'Slovenia/epidemiology', 'Uterine Cervical Neoplasms/pathology', 'Uterine Cervical Neoplasms/virology', 'Vaginal Smears', 'Young Adult']",J Med Virol. 2014 Oct;86(10):1772-9. doi: 10.1002/jmv.23997. Epub 2014 Jun 30.,2014-10-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24978445,http://dx.doi.org/10.1002/jmv.23997
1000,1467165598.109462,1467165600.073102,0:00:01.96,Cervical cancer,3013,2,16,216,24844820,Screening older women for cervical cancer saves lives.,"[['Printz C', 'Not found']]",Not found,Cancer,Cancer,[u'News'],"['Age Factors', 'Aged', 'Aged, 80 and over', 'Early Detection of Cancer*', 'Female', 'Humans', 'Middle Aged', 'Uterine Cervical Neoplasms/diagnosis*']",Cancer. 2014 Jun 1;120(11):1599. doi: 10.1002/cncr.28777. No abstract available.,2014-06-01 00:00:00,http://www.ncbi.nlm.nih.gov/pubmed/24844820,http://dx.doi.org/10.1002/cncr.28777
