Doc ID,Clinical Trial,Multicenter Study,Comparative Study,Randomized Controlled Trial,Non-U.S. Gov't,"N.I.H., Extramural",Letter,Non-P.H.S.,Pragmatic Clinical Trial,Observational Study,Phase I,Phase II,Phase III,Phase IV,pval-1,pval-2,pval-3,pval-4,pval-5,n-1,n-2,n-3,n-4,n-5,funding-1,funding-2,funding-3,funding-4,funding-5,sections,characters,words,sentences,chars-per-word-mean,chars-per-word-stdev,words-per-sentence-mean,words-per-sentence-stdev,syallables-per-word-mean,syallables-per-word-stdev,ARI,hard-word-ratio,lexical-density,gunning-fog-index,coleman-liau-index,SMOG,flesch-kincaid-index
12796752,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blood Institute,Massachusetts General Hospital Primary Care Operations Improvement Initiative,Donald,Stanford University,0,19,32271,5464,181,5.0334919472913615,3.4178433428365684,30.1878453038674,21.405297015727015,1.4551610541727673,1.0951399249894498,17.119999999999997,0.215592972181552,0.2177891654465593,12.161375310419581,14.491251830161055,17.70308417373,53.08771183355849
15290657,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.80,0.52,0.58,0.23,0.04,0,0,0,0,0,Janssen Pharmaceutica,Eisai,0,0,0,19,29487,5000,201,5.0308,3.4277399610017034,24.875621890547265,12.647112426807883,1.3818,1.066587287231832,14.119999999999997,0.1824,0.1478,10.023208756218907,14.623695999999999,15.297803974454734,64.68596378109456
14718430,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.001,0.009,0.002,0.003,0.215,0,0,0,0,0,University of Otago School of Physiotherapy,Otago Respiratory Research,School of Physiotherapy,University of Otago,0,26,34082,6141,212,4.662269988601205,3.1838238322568366,28.96698113207547,33.70029384235772,1.2548444878684253,0.9352652798954946,16.119999999999997,0.13922813873961895,0.1688650056993975,11.642483708326036,12.33773001139879,14.601652735707294,71.27367047727464
11331953,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,27,41462,7262,301,4.864362434591022,3.569897345388777,24.12624584717608,17.357918717193346,1.3055632057284494,1.1238964098233448,14.119999999999997,0.18218121729551087,0.1524373450839989,9.723370825788637,13.671214541448638,15.105922413156133,71.89621326048947
10767241,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05,0.001,0,0,0,43,37,31,0,0,0,0,0,0,0,27,31848,5454,197,4.946644664466446,3.4446575201880827,27.685279187817258,16.017924798335315,1.3461679501283461,1.0511234810462107,15.619999999999997,0.17546754675467546,0.18793546021268795,11.144298693828773,14.04335166850018,15.72031940244904,64.84863304350743
10767241,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05,0.001,0,0,0,43,37,31,0,0,0,0,0,0,0,27,31848,5454,197,4.946644664466446,3.4446575201880827,27.685279187817258,16.017924798335315,1.3461679501283461,1.0511234810462107,15.619999999999997,0.17546754675467546,0.18793546021268795,11.144298693828773,14.04335166850018,15.72031940244904,64.84863304350743
10359405,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,ASTRA Danmark A/S,ASTRA Pharmaceutical Production AB,National Union,0,0,16,22798,3987,139,4.82242287434161,3.378835108758815,28.68345323741007,18.199393193906786,1.3052420366190118,1.0302805975450833,16.119999999999997,0.13192876849761725,0.26034612490594433,11.526152802363075,13.286581389515923,14.242076801077872,67.29781866606041
12824967,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5060,0,0,0,0,National Cancer Institute ` National Institutes of Health Department of Health and Human Services,0,0,0,0,22,36477,6502,219,4.727007074746232,3.2761540391226216,29.689497716894977,15.498873271381193,1.3512765302983698,1.0737841263349837,16.619999999999997,0.17932943709627808,0.14164872346970164,11.947530861596503,12.700775146108889,16.31082216283146,62.382165354109546
15302476,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.14,0.73,0.0009,0.0001,0.001,825,0,0,0,0,Pfizer,0,0,0,0,19,19618,3323,105,5.0457417995786935,3.6035907257543327,31.64761904761905,20.61738481904426,1.356906409870599,1.0720625777653996,17.619999999999997,0.1799578693951249,0.19951850737285584,12.73103076680567,14.531254890159492,16.762396446567866,59.91838439161401
10807830,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.4,0.98,0.001,0.01,0.03,0,0,0,0,0,Health Service Research Committee Grant,0,0,0,0,28,26708,4867,141,4.593794945551674,3.167340420051041,34.5177304964539,19.023144864265976,1.2705979042531332,0.967618123517358,19.119999999999997,0.1489623998356277,0.18080953359358948,13.866677158515811,11.818738442572425,16.083114616359325,64.30692084628423
11401110,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17,18716,3523,123,4.417825716718705,3.0824815287473113,28.642276422764226,14.368185530231745,1.2435424354243543,0.9693651619324576,16.119999999999997,0.11893272778881635,0.20976440533636107,11.504483660221219,10.90860062446778,13.67295419187463,72.55939939399396
