doc_id,expectation,mention_text
15290657,1,'0.80'
12757988,1,'0.01'
15290657,0.999,'0.52'
12757988,1,'0.05'
15290657,0.994,'0.58'
15290657,1,'0.23'
15290657,1,'0.04'
15290657,1,'0.69'
15290657,1,'0.25'
15290657,0.998,'0.05'
15290657,0.999,'0.12'
15290657,0.999,'0.42'
15290657,1,'0.14'
15290657,0.993,'0.04'
15290657,0.998,'0.05'
15290657,0.992,'0.14'
15290657,0.999,'0.69'
15290657,0.971,'0.12'
15290657,0.997,'0.04'
15290657,0.996,'0.05'
15290657,0.989,'0.14'
15290657,0.997,'0.69'
15290657,0.98,'0.12'
15290657,0.997,'0.0001'
15290657,0.982,'0.05'
14718430,0.993,'0.001'
14718430,1,'0.001'
14718430,0.999,'0.009'
14718430,0.98,'0.002'
14718430,1,'0.003'
14718430,1,'0.215'
14718430,0.999,'0.001'
10767241,0.999,'0.05'
10767241,0.997,'0.05'
10767241,0.998,'0.05'
10767241,0.992,'0.001'
10767241,0.999,'0.05'
15302476,1,'0.14'
15302476,1,'0.73'
15302476,0.997,'0.0009'
15302476,0.998,'0.0001'
15302476,1,'0.001'
15302476,1,'0.001'
17437739,1,'0.05'
10807830,0.998,'0.4'
10807830,0.998,'0.98'
10807830,0.999,'0.001'
10807830,0.996,'0.01'
10807830,0.992,'0.001'
10807830,0.994,'0.01'
10807830,1,'0.03'
10807830,0.985,'0.008'
10807830,0.997,'0.047'
10807830,0.999,'0.4'
10807830,1,'0.98'
10807830,0.999,'0.008'
10807830,0.998,'0.047'
10807830,0.96,'0.049'
10807830,1,'0.6'
10807830,0.987,'0.001'
10807830,0.959,'0.6'
10807830,0.991,'0.001'
11401110,0.999,'0.0001'
10369424,1,'0.004'
10369424,1,'0.004'
10369424,1,'0.018'
10369424,1,'0.018'
12825037,0.897,'0.10'
12825037,1,'0.64'
12825037,0.997,'0.24'
12825037,1,'0.59'
12825037,0.999,'0.001'
12825037,1,'0.05'
12825037,0.994,'0.04'
12825037,1,'0.05'
12825037,0.999,'0.04'
12825037,1,'0.02'
12825037,1,'0.004'
14725828,1,'0.000'
12842055,0.985,'0.01'
12842055,0.997,'0.01'
12842055,1,'0.001'
12842055,1,'0.064'
11516807,1,'0.034'
11516807,0.958,'0.05'
11516807,0.95,'0.01'
14725828,1,'0.541'
14725828,0.991,'0.023'
14725828,0.996,'0.003'
12161056,0.997,'0.05'
12161056,1,'0.062'
12161056,0.998,'0.010'
12161056,0.993,'0.93'
12161056,1,'0.53'
12161056,1,'0.054'
12684301,0.999,'0.008'
12161056,1,'0.001'
12171833,0.991,'0.05'
12171833,0.991,'0.01'
12171833,0.991,'0.01'
12171833,0.988,'0.01'
12171833,1,'0.05'
12171833,0.992,'0.01'
12171833,0.981,'0.05'
12171833,0.988,'0.01'
12171833,0.998,'0.05'
12171833,0.998,'0.01'
12171833,0.989,'0.01'
12171833,0.991,'0.01'
12171833,0.993,'0.01'
12171833,1,'0.01'
12171833,0.999,'0.01'
12171833,0.999,'0.01'
12171833,0.998,'0.01'
12171833,0.999,'0.05'
12171833,1,'0.01'
12171833,0.999,'0.05'
12171833,1,'0.01'
12171833,1,'0.05'
12171833,0.992,'0.01'
12171833,0.994,'0.05'
12171833,0.987,'0.05'
12171833,0.999,'0.05'
12171833,0.991,'0.05'
12171833,0.983,'0.01'
12171833,0.987,'0.05'
12171833,0.989,'0.01'
12880608,1,'0.345'
12880608,0.998,'0.090'
12880608,1,'0.307'
14739053,0.998,'0.0077'
14739053,0.999,'0.05'
14739053,1,'0.001'
14739053,0.996,'0.001'
14739053,0.991,'0.05'
14739053,0.989,'0.05'
14739053,1,'0.05'
14739053,1,'0.001'
10916100,0.99,'0.001'
10916100,0.999,'0.05'
10916100,0.996,'0.05'
10916100,0.981,'0.006'
10916100,0.995,'0.001'
10916100,0.998,'0.005'
10916100,0.971,'0.027'
10916100,1,'0.001'
10916100,0.996,'0.026'
10916100,0.978,'0.027'
10916100,0.987,'0.001'
10916100,0.998,'0.05'
10916100,0.988,'0.057'
10916100,0.989,'0.008'
10916100,0.996,'0.05'
10916100,0.99,'0.045'
10916100,0.986,'0.051'
10916100,0.999,'0.022'
10916100,0.976,'0.69'
10916100,0.991,'0.039'
10916100,0.99,'0.007'
10916100,1,'0.006'
10916100,0.984,'0.005'
10916100,1,'0.05'
10916100,0.995,'0.001'
10916100,0.98,'0.002'
10916100,0.999,'0.025'
10916100,1,'0.039'
10916100,1,'0.324'
10916100,0.997,'0.11'
11693748,1,'0.0001'
11693748,1,'0.00001'
11693748,0.997,'0.00001'
11693748,1,'0.00001'
11693748,0.996,'0.00001'
11693748,0.996,'0.00001'
11693748,1,'0.00001'
14751349,0.999,'0.022'
14751349,0.999,'0.025'
14751349,1,'0.003'
14751349,0.999,'0.010'
14751349,1,'0.001'
14751349,0.992,'0.046'
14751349,0.999,'0.172'
14751349,0.999,'0.214'
14751349,0.999,'0.262'
14751349,0.999,'0.056'
14751349,0.997,'0.879'
14751349,0.996,'0.016'
14751349,0.994,'0.001'
14751349,0.994,'0.007'
14751349,0.995,'0.001'
14751349,0.994,'0.001'
14751349,0.998,'0.012'
14751349,0.997,'0.001'
14751349,0.996,'0.001'
14751349,0.995,'0.001'
14751349,0.994,'0.001'
14751349,0.992,'0.007'
14751349,0.999,'0.001'
14751349,0.996,'0.004'
14751349,0.993,'0.003'
14751349,0.995,'0.029'
14751349,0.998,'0.952'
14751349,0.992,'0.751'
14751349,0.999,'0.587'
14751349,0.994,'0.003'
14751349,0.998,'0.356'
14751349,0.996,'0.636'
12893326,0.998,'0.0137'
12893326,1,'0.0011'
12893326,0.998,'0.2167'
12893326,0.974,'0.014'
12893326,0.996,'0.1010'
12893326,1,'0.0025'
12893326,1,'0.2761'
12893326,1,'0.0036'
12893326,0.997,'0.0010'
12893326,0.997,'0.0017'
12893326,0.999,'0.7690'
12893326,0.997,'0.0106'
12893326,1,'0.0001'
12893326,0.993,'0.1861'
12893326,0.999,'0.2678'
12893326,0.999,'0.0379'
14767293,0.993,'0.09'
15492949,1,'0.0001'
