Doc ID,Clinical Trial,Multicenter Study,Comparative Study,Randomized Controlled Trial,Non-U.S. Gov't,"N.I.H., Extramural",Letter,Non-P.H.S.,Pragmatic Clinical Trial,Observational Study,Phase I,Phase II,Phase III,Phase IV,pval-1,pval-2,pval-3,pval-4,pval-5,n-1,n-2,n-3,n-4,n-5,funding-1,funding-2,funding-3,funding-4,funding-5,sections,characters,words,sentences,chars-per-word-mean,chars-per-word-stdev,words-per-sentence-mean,words-per-sentence-stdev,syallables-per-word-mean,syallables-per-word-stdev,ARI,hard-word-ratio,lexical-density,gunning-fog-index,coleman-liau-index,SMOG,flesch-kincaid-index
11955536,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,70,100,0,Ministry of Research,Essex Pharma,0,0,0,20,27610,4918,162,4.761691744611631,3.4181412778793643,30.358024691358025,20.865620713291495,1.2045546970313135,0.9990936469321439,17.119999999999997,0.1305408702724685,0.22753151687677917,12.195426224652198,12.889174461163076,14.50157373656624,74.11627756942251
10023500,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,27,0,0,0,0,0,0,0,10,10241,1900,67,4.516842105263158,3.1155102189694794,28.35820895522388,14.045058974316905,1.2210526315789474,0.962116942420691,16.119999999999997,0.13526315789473684,0.25263157894736843,11.397388845247448,11.498147368421048,14.317657447731769,74.75036527886884
12767421,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.001,0.017,0.01,0.007,0,40,720,0,0,0,AstraZeneca Pharmaceuticals,Jefferson Heart Institute,0,0,0,11,20853,3641,79,4.88025267783576,3.689522965961345,46.08860759493671,46.96020952684923,1.2548750343312276,1.0794507505372333,25.119999999999997,0.16671244163691293,0.26064268058225765,18.50212801462945,13.35066190606976,18.964379587688157,53.8926353867174
12461494,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47,15,0,0,0,0,0,0,0,16,14899,2905,106,4.247504302925989,3.112836902794771,27.40566037735849,16.909156889171193,1.0994836488812392,0.9478516752061421,15.619999999999997,0.10361445783132531,0.22409638554216868,11.003709934075928,9.94013080895008,12.755751522118263,86.00193802162832
11576883,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.09,0.2,0.13,0.002,0.003,104,11,0,0,0,Abbott Laboratories Inc,0,0,0,0,23,31951,5521,178,4.904365151240717,3.4357852719219855,31.01685393258427,23.88330261330406,1.2945118637927913,1.0335882992497756,17.619999999999997,0.15287085672885348,0.2197065748958522,12.46788991572525,13.713428726679947,15.568692617701835,65.83718958155684
10898425,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0001,0.005,0.001,0.015,0.002,0,0,0,0,0,AstraZeneca,Sahlgrenska University Hospital,Göteborg University,0,0,18,22796,3981,151,4.85983421250942,3.488451424248591,26.364238410596027,18.481155607341805,1.2408942476764633,1.0723366750382992,15.119999999999997,0.14167294649585532,0.21954282843506656,10.602364542836753,13.570841497111282,14.16978486934148,75.09564465981624
11197445,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medical Department of Bayer Italy,0,0,0,0,23,29052,5656,109,4.376591230551627,3.52141009150084,51.88990825688074,165.04916997163247,1.125,1.1397724554847632,27.619999999999997,0.15222772277227722,0.29207920792079206,20.816854391861206,10.338288543140028,19.184948535715414,58.991743119266076
11955734,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0.232,0.5,0.376,0.03,0,0,0,0,0,0,0,0,0,0,0,16,25774,4516,181,4.846324180690877,3.4431098314597683,24.950276243093924,17.967030374517137,1.2442426926483614,1.084507445706731,14.119999999999997,0.14769707705934454,0.20770593445527016,10.039189328061308,13.536457041629756,14.095613190023588,76.24753781520832
12767565,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.001,0.6,0.7,0.09,0,0,0,0,0,0,0,0,0,0,0,9,24280,4355,162,4.708610792192882,3.349604460955622,26.882716049382715,14.24688515699608,1.3618828932261768,1.104959776112149,15.119999999999997,0.1843857634902411,0.18576349024110217,10.826840725149182,12.66631458094145,15.847872557537553,64.33375044294199
12461499,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,Medical Research Council of Canada,Canadian Institutes of Health Research,0,0,0,15,16646,3005,94,4.714475873544093,3.4895230435889233,31.96808510638298,24.72926616169401,1.2792013311148087,1.0830277853983314,17.619999999999997,0.1740432612312812,0.2925124792013311,12.856851347045705,12.57677204658902,16.60419555091848,66.1669610047085
10899481,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,10,12558,2317,78,4.529132498921019,3.1477219575001048,29.705128205128204,21.172212231190457,1.2455761760897712,0.9824287067500844,16.619999999999997,0.12775140267587398,0.2343547690979715,11.933151843121632,11.536901165299959,14.25777577995624,71.30855037460024
10023505,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,17414,3080,119,4.774025974025974,3.4077992657484435,25.88235294117647,14.754014949450683,1.199025974025974,0.9061005942328605,14.619999999999997,0.11558441558441558,0.2172077922077922,10.399174942704356,13.081090909090907,13.00999886361262,79.12681436210848
11578785,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18897,3221,131,4.955603849736107,3.1711359012009694,24.587786259541986,8.656585069278526,1.554486184414778,1.075588119597393,14.119999999999997,0.18472524060850667,0.2840732691710649,9.909004600060198,14.191406395529341,15.304066385520315,50.368865745074686
11203523,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23252,4283,188,4.571795470464628,3.169163105691984,22.78191489361702,14.44666727117555,1.3156665888395984,0.9431934050383333,13.119999999999997,0.1335512491244455,0.21013308428671493,9.166186457096586,12.002185384076583,13.093795349294695,72.40596296714872
